BIOCHEMICAL,1-ctrl,2-ctrl,3-ctrl,4-ctrl,5-ctrl,6-ctrl,7-ctrl,8-ctrl,9-Lm,10-Lm,11-Lm,12-Lm,13-Lm,14-Lm,15-Lm,16-Cr,17-Cr,18-Cr,19-Cr,21-Cr,22-Cr,23-GF,24-GF,25-GF,26-GF,27-GF,28-GF,29-GF,30-GF,31-GF
3-methyl-2-oxobutyrate,1839376,2413746,2785045,1941744.125,2081337,2281914,2584719,2013541,2084668,2329186,1941205,1911629,2303699,4951009,2455308,2816629,2736437,2789581,2892675,2869176,1935461,2222741,2628391,2911976,2827511,2910442,2375474,2994784,2467142,2870021
3-methyl-2-oxovalerate,3173994,3536128,5034917,3443606,3255132,3025107,3464453.75,3200937.25,4000135,4957412,3029580,3391856,3898387,6650690,4386190,5471174,4269306,4712528,4719889.5,5639833,4216236,4321389,4659680,5789900,5647919,4568133,4782659,5299089,4105795,4976336
3-methyladipate,,32742.7012,,35214.1992,26193.8008,,,30233.002,178937,238552,51037.3008,180601,82711,422941,106760,47350,45016,87723,66149,43265.1016,57832,50334.1992,49231.8008,66852,54898,,66976,60788.9961,,91317
3-methylcrotonylglycine,1639729,1844627,2683471,1975455,1417890,1338676,1495077,1066352,1879253,3474608,1150770,1530298.875,1663858,5520803,1516280,2116689,2399489,2816598,2447382,3239039,2289642,2541273,2836087,3250573,2464703,2786071,2370037,2552717,3245789,2779374.75
3-methylcytidine,1167149,988908,1331720,1088046,1033425,1069694,1241451,1298659,316193,,628192,293785,1476094,,598328,1773139,1608307,2076034,1762100,2838925,1732165,1393551,1650302,2164225,1234180,1282856,1432874,2004146,1848897,2244443
3-methylglutaconate,74210,81816,133892,96261,95586,92727,89787.9922,93545,255231,401908,131856,264628,215208,557776,244778,183188.0156,144016,179896,154939,147715,135598,152553,140892,178741,177947,151458,145215,157552,134634,189993
3-methylglutarate/2-methylglutarate,241416,,180941,206301,152684,191281,208780,208119,440053,473774.9688,249211,538331,300474,730246,245602,211671,154434,281507,222451,314264,249158.0156,182364,206812,161340,252579,240167,234822,238783,223941,164667
3-methylglutarylcarnitine (2),822831,845556.9375,1603609,823850,1542658,1255263,1616422,2024485,3205380,2549352,1155992,2313289,2129829,2460837,2289725,1139348,691084,1156173,976057.0625,1158707,958506.9375,1786336.875,1884005,1728955.125,2446928,2332738,1722428.875,3100394,1372568,2571742
3-methylhistidine,268829,304761,343650,298333,408848,315610,422954,464602,485637.9688,432851,445221.0313,707686,389343,1159187,503629,373227,419876.9688,271015,337038,556496,440492.9688,286408,432909.9688,357866,406749,295093,303586,364420,428917.0313,437691
3-ureidoisobutyrate,2353600,2543483,2684036.25,2846100,4670801,5879758,5162200,3667366,2390015,3155799,3201665,3011750,2103946,5498863,1994152,8340975.5,4612614,2874698,4677142,5379782,4388469,5321200,6347999,4817400,6690406,4678129.5,6722966,5192501,4874421,5785324
3-ureidopropionate,40774440,36825512,34886916,40842424,37719328,47309656,42178156,35043848,35655560,57350808,37675536,41746240,36699680,70076056,37949544,65093784,47888600,47228896,46363228,70835408,47506512,51452212,47131752,47689700,60575076,45991428,53092784,54295884,40907520,53505180
3beta-hydroxy-5-cholestenoate,717960,921927,793306,874259,807603,397589,589410,502603,702864,1837769,660969,957818.9375,608142,7150781,749635,728303.0625,524724,436275,613463,573202,383412,564092,468578,420157,547232,331226.9688,601772,773452,230869,403993
4-acetamidobutanoate,4021681,3576241,2545027,3519070,1714381,1911905,1176068,1592282,2732849,5043475,2391974,1210694,3255659,4328038,2351325,2851328,3577433,4366837,2866405,3943993.75,2607564,1453501,1080986,2873907,1693671,2299165,1365090,1728590,1438257,1414050
4-acetylphenyl sulfate,251458,332708,308880,219943,236211,150227,228698,154203,115585,156803,235590,196015,235441,32255.002,331795,382817,387889,516591,335404,469981,393261,95171,98975,204909,113705.9922,64922,100161,113061,118043,102416
4-chlorobenzoic acid,272042,266393,321637,213228,265624,297710,263918,281203,276036,316356.0313,303431,314345,290657,294516,306594,279115,277894,322917,278644,241411,314474.0313,284957,294792,284812,310439,278953,313985,296427,269114,322181
4-cholesten-3-one,143324160,144874496,150057104,157455952,98117296,102789296,96468168,130704568,112959272,112262152,111032464,105122080,122517464,71203688,127265960,181173968,189670768,226328848,160060640,178172160,144049392,121703152,62616584,87514144,102128744,68751984,73806008,90757520,59843840,94393888
4-guanidinobutanoate,411039584,427019840,348831104,343176864,417111744,398734208,420779616,299630624,176440400,157004720,292521568,186410240,195734176,52527148,165599952,296673504,319274976,320200512,279320000,307840256,302490112,536494080,668884416,769364672,617131136,752750336,685359104,694243328,611519104,605975616
4-hydroxycinnamate sulfate,24269318,24640284,22421410,26090848,34742648,26247918,31681904,25053080,7666697,10791970,18348274,13291210,13037690,2312730,20438578,36573004,51908028,49640436,41382892,36989280,45087508,11716580,17171316,12314488,12507668,12884423,13472805,13344624,16815064,13023855
4-hydroxyhippurate,16298570,16162875,15595714,15194136,18124342,17515064,17126952,13562141,9336061,14009121,17631536,12137451,21427478,3585662,15369039,25612074,32133998,41776584,24656476,29959978,25633152,9619257,8991354,15835087,7488503,8504743,7977964,7836657,8407979,7681132
4-hydroxyphenylacetate,558283,479857,342713,588680,273674,,,245080,,376654,374471,316301,284581,400484,239791,509967,537048,510177,470528,664370,594273,183007,,251227.0156,273953,322927,245188.9844,,401132,229152.9844
4-hydroxyphenylpyruvate,3562622,4121423,5007426.5,4087779,4896648,3494110,4065000,3070381,2329787,1638991,3987749,2868721,2239457,2328559,3386295,4827983,7957334,7551156,5011390,4779144.5,4433020,4613068,6307262,3319856,4804407,4753555,5074479,4500255,4673255,5640217
4-imidazoleacetate,56527828,50379936,40186948,57318016,55530368,62753224,50129096,52681868,32164332,38363424,67516320,28510234,35665044,27935480,25920592,76190280,98300976,109557768,95304256,104983040,92052440,54789692,62138184,67072448,49938056,74979552,50178968,50561408,58296132,37905252
4-methyl-2-oxopentanoate,3171162,4083020,5029293,3456799,3480306,3437276,3665047,3944169,5468929,6921549,4146768,5548434,4960887,8429101,6482888,5049220,4592952,4424082,4934278,5227753,3655592,3816015,3996313,5102615,5332733,4290973,4450315,5561288,3617142,5033332
4-methylcatechol sulfate,350305,503491,584205,268882,689795,515960.0313,572931,355452,,89987,261067.9844,271317,211737,,451277,661624,701134,1057942,652523,486951,629615,,,,,,,,,
4-methylhexanoylglycine,769476,636053,1027888,818241,413386,464765,616792,641472,511865.0313,527524,336115,416332.0313,443238,533151,440480.9688,722478,445060,531130,479837.9688,842979,599439,840864,860724,1146839,915586,1071207,939512,846418,1427624.125,910133
4-methylnonanoylcarnitine,5261100,4818484,5049235,5464862,6245094.5,6866159,5702885.5,5954032,2219021,3888510,2892912,1911076,1910636,2915918,1932394,5521361,5426025,4424103,4768268,3827980,5280851,5308477,5010592.5,4329487,5882237,4148776,3007356,4892845,3714266,5134850
4-methylthio-2-oxobutanoate,26566,23044,19685,,37094,,,,,,19833,,,,31607,,21770,,23966,,,28991,36721,,,,36489,57589,28445,42242
4-vinylguaiacol sulfate,,,,,,,,,,,,,,,,,,,,,,30873,95699,195990,111381,,105200.9922,94399,134806,36642
"5,6-dihydrouracil",145223,,138087,148032,87194,150515,104336,,92086,108167,68096,,105237,124142,77319,112793,97493,179093,,127868.9922,125187,167427,,134653,187992,173168,,127841,,163529
"5,6-dihydrouridine",499908,534828,556761,621763,790678,535205,762574,902844,580552,608669,525887,620709,428210,1715321,753906,974607,998038,681483,882945.9375,1207628,1094535,627666,949358,726725,658544,618224,895271,506662,787237,732189
5-(galactosylhydroxy)-L-lysine,475036,211938,218433,322712,497440.9688,,,384853,1293702,3387182,1034564,1459574,721985,11737436,1208652,851339,655397,239575,247492.0156,383676,469948,739745,683838,1006535,607502,575898,425447,796711,516831.0313,920957
5-aminovalerate,8508346,8610809,11969587,18704444,8085785,6016310,13193435,7338459,10568985,22883762,10304670,22569752,17579134,30031230,21696502,13787457,11455443,13560407,10996954,19066192,14317330,,7307177,,4297897,5620260,,,,
5-dodecenoylcarnitine (C12:1),67025016,71785184,100456456,80992440,54572232,77266696,49874900,61920404,231934256,549422272,69016904,139586240,87855536,539005632,58691072,66497356,77142024,66077952,54421608,64254904,48976824,129477184,68407904,129253992,137154208,100264056,64112792,121822928,64411944,113037368
5-hydroxyhexanoate,250398,477107.0313,279838,228767,230737,388361.9688,368786,306120,918600.0625,2170199,620364,609832,316587,5962927.5,714556,405438,372900,327889,528577,393840.9688,324692,186317,391416,,271430,336712,321567,494037.0313,343016,
5-hydroxylysine,352083,,,336475,1138004,1939893,1273045.125,1385482,1740865,561638,333861,1642388,969373,888724,777231,1068189,383190,466671,529726,,,1495607,2061138,1395957,1126706,1180493,1470851.125,1476085,1792814,1650501.875
5-methyl-2'-deoxycytidine,1313352,1597193,1353061,1981672,1538802,1183639,1804622,1978152,,,675158,,,,518780,2014093,2519985,3652406.75,2158596,2960852,3193718,1319337,2011355,1675269,1325281,1582777,1469965,1765114.125,1934620.875,1483348
5-methylcytidine,483676,317795,412157,563269.9375,269106,378711,447576,470094,,6167918,,,295635,2467555,192908,508514,649207,804955,675941,994334,842064,401288,598058,698337,164985,535303,558627,832562,941292,756494
5-methylthioadenosine (MTA),17524212,15709387,15490123,22372866,9593894,13809530,9895467,10082458,12165685,12541459,14731456,12382260,10584902,10178612,9355255,18906932,17462124,18742724,16529170,17141292,12066298,14484727,18079592,12785184,16406633,18230704,18675040,21990194,16244685,19554900
5-methylthioribose,245179,284176,275458,320880,269081,290282,306404,347233,531911,679361,287538,485255,407221.9688,766025,431211,487454,461573,433751,383459,563033,429585,269593,253452,347767,221958,217677.0156,212325,196312,238296,240035.9844
5-methyluridine (ribothymidine),,,,,,,,,,,,,,,,,,,,,,57235,35256,54672,48280.0039,24065,41309,32690,30570,35996
5-oxoproline,8775988,8942285,8829800,9922924,8076257,7493586,7743788,8190540,10922591,13344750,8939632,11026341,10107591,17766436,11662584,13500586,11799167,13286306,12788456,13294461,12274871,5989942,6775708,7268516,6156283,6545665,5883671,7061227,6553813,6168127
"5alpha-pregnan-3beta,20alpha-diol disulfate",706784,308337,815580,843880,297127,695513,355800,793063.0625,74113,60953.0039,62803,76600,61054.0039,,197270,554268,575943,672108,1573001.125,525191,1108372,384568,,743660,673227,274798,54835,84895,112377.0078,
6-oxopiperidine-2-carboxylate,487263,514997,396896,462207,357765,537781,380501,477071,733922,1378531,559956,673538,659404,1870545,426773,433324,474868,585572,425081,515403,507307,712125,918487,549539,634058,488840,408930,720022,792106,1020826
7-HOCA,1138498,1955654,2473513,1871994.875,1203330,750695,1118380,494100,1548450,1238594,2371926,1666621,2213521,1955468,1843936.125,1337590,1066675,2174647,1701752,752502,1533819,1637615,2026102,1163547,1820220,1694193.875,1957946.875,2615626,1409726,1801665.875
7-ketodeoxycholate,281080992,117505944,117410856,540989696,202413648,55333232,92033712,111791160,64553488,22640300,20865292,1866148,7418310,33832464,153610352,55924804,65191468,34315528,45703436,80591488,103729064,,145795,,,,,,,
7-methylguanine,22699628,21710318,24803160,29083960,24010446,22299464,28151696,29641836,74414280,76387104,37658056,62858324,43599548,143888416,52030544,43181972,43840840,54585960,38346364,62565856,40871332,28917232,30083552,43085972,27511028,25653528,26683840,26926746,31978550,31570332
7-methylguanosine,738961,628031,686825,827354,678403,702516,1183449,1143171,434071.0313,855762,592927,494891,1437798,493522,873462.0625,1318429,1195889,1926342,806262,1899811,1141694,443979,640518,1458962,505596,583417,499808,551788,958527,654182
8-hydroxyoctanoylglycine,36295,,88028,50519,31280.002,36241,,114368.0078,1104868,3921894.25,258849.9844,898054,330112,6694925.5,312825,,,,,,,184227,146334,219072,326849,292558,188679,129134.0078,250365,115802.0078
acetylcarnitine (C2),797003584,868690496,1082100736,843085888,925167872,1185481856,1055876288,1196838656,1788311680,2413594624,935282944,1633113344,1102023040,4375732736,1183020032,1067810560,977583552,777908736,828003968,1107857920,902328192,1153310720,1280083328,1168543232,1348250112,1344336768,1253142784,1332111616,1236436224,1463223424
aconitate [cis or trans],2620483,2431129,2468114,3359260,2235370,2624415,1810340,3160220,4314311,6119216,3348388,3148838,3728875,9605012,3371631,7103661,6125285,6086699,4798192,7748454.5,4887911,3150110,4167833.75,3842500.75,4013666.25,5115545,2920990,3342447,3855577,4085154
adenine,4837132,5082931,4984022,5239996,3733775,3891664,3901251,2996576,20688288,3425932,3627468,4279715,6214388,13154554,17545886,4384844,4901323,5914336,4671984,5373881,4561594,3670463,3716258,2941212,2789801,3064279,3080171,3685278,2857149,3388804
adenosine,25702844,28859744,41437056,32441770,15315204,15845580,17233808,10435155,18823716,24389404,14034839,11640851,14698996,8457477,24625208,9761997,10517625,11402919,11691212,11117784,10418611,14948218,14080604,17815278,17244172,17775264,9580000,24371364,14529856,25231376
"adenosine 3',5'-cyclic monophosphate (cAMP)",4124389,4572216,5263481,4384830,4890681,4966956,5484756,5520284,2643698,4634972,2821475,2393125,3312351,5441049,2698555,4976290,4711978,4690294,4337308,5992147,4491801,4638302,4436438,6225044,4229401,4581612,4282975,4776238,3998992,4631672
AMP,341441,259221,341486,502485,152209,98769,180563,195322,411422,825139,415874,256766,256255,1837287,763202,274574,280700,182374,268789,277753,254225,187646,277520,130870,196662,171838,181766,287974,246468,328048
adipate,,,,,176824,,,,573241,2361739,159509,227771,,4460162,151186,,246368,60633,,,,371790,340878,,,,313353,,331011,
adipoylcarnitine (C6-DC),11331577,11848209,17357908,10781406,8989728,11863867,9779775,11228299,102324864,408984256,36013316,77861704,28354124,473376096,28981404,24589572,15909269,17700700,16877384,24424540,13641080,29154822,32673116,33445952,39970416,36921480,28827364,41617484,37022468,35960964
adrenate (22:4n6),23889428,8775042,12322027,8182903,7729286,12422567,7007718,9939051,15332691,16207309,8813821,7876943,6795833,13636933,8267254.5,7352688.5,7133348,8865201,12079775,15781940,11675715,9897479,8873301,32582424,8773418,11063401,7885971,13708076,12563101,22505552
adrenoylcarnitine (C22:4)*,980012.0625,829950,985957,1095371,731591,1010277,560697,348046,891862,,,,735450,,614402,,374923,561712,549725,,862404,474271,,445118,271573,548366,,575084,,374866
afromosin,2710222,2845222,2519578,2823717,1195515,1544333.875,1063766,1277049,2913960,1528320,2317738,2547350,3233941.25,1446641,3446422,2959815.25,3779943.25,4099219,4760941,3477983,4901286,3468813.75,5185631,4984208,4475368,3862740,4729686,3246246,2898530,2646053
alanine,805164928,787756352,668004544,831251264,869297920,830154816,849481152,875491648,1183940992,1106091776,993334784,1004643584,922275392,754562944,822493504,935873024,896872512,979037760,969177536,1153001216,1059400128,917356544,1075772416,1105290752,1030501056,1046604416,876666176,1024288960,1268313856,1172936448
alanylleucine,12658585,10140470,11015187,15304180,8018036,11858691,7919867,12997510,9900404,17380016,10216356,7704098,11430216,7252655,6347403.5,11026952,15894333,20302718,16235906,19549018,18349360,10311360,13080371,13279464,11300124,12448556,8473604,12849657,9240462,10433755
allantoic acid,319172,319401,368130,347980,306347,255250,328059,337959,332318,303944,323436,308241,289793,311490,339903,307845,310975,327289,308941,367208,337732,397302,429062,430331,401616.0313,353656,382879.9688,400773,339215,445551
allantoin,36688352,33257306,37403456,37252344,39020928,40687584,40744080,37889376,53102392,60868568,40488920,43671360,44502584,95388528,43318568,49376516,50054848,49261872,49058420,57343892,55686324,42295892,49960564,47073528,49298616,48546880,46708540,49301624,50128232,55025744
alpha-CEHC glucuronide*,901545,1019170.063,1121182,1154914,944601,1302089,1152072,1036760.938,573148,468477,572696,487030,545322,384368,712357,931712,1429567,1132746,877467,1281575,989845.9375,734850,940009,959524,1274146,1387561,1194378,1116695,969462,1080081
alpha-CEHC glycine*,400373,410884,479332,482971,243928,301751,295800,328976,,,294918,,103548,,272330,656249,932845,1010891.063,492239,1075305,689322,409353,573547,584490,607576,804759,576088,467808,1040477,584936
alpha-CEHC sulfate,36438,34767,,,,35020,,,,,32131,22403,,72398,,54925,90186,117309.0078,52720,,31870.998,232593,246363.0156,282372,409903,309274,283415,276988,348469,248374
alpha-CEHC taurine*,287435,260650,319999,305414,344852,373626,224348,281856,,,95038,,,989610,65998,339470,565732,491324,296879,543351,244825,272173,477255,352734.0313,437240,760038.0625,518529,495006,707550,469408
alpha-CMBHC glucuronide,5754166,3968391,4495714,5380462,3815156,4288192,4609989,4251775,1590503,1304686,1348793,963113,1474257,1152337,1813647,3566389,4597365,3912774,3210552,4482626,3455358,5749743.5,6863749,5671716,6696409,9136242,6502131,6984934,8386025,7688386
alpha-hydroxyisocaproate,135361,214030.0156,196518,170935,163089,100580,158749,143731,1210436,1700706,717734,1298881,916942,4289668,1239567,263871,311712,315103,268122,319534,286420,107623,127172,137816,142123,97369,119355,162373,,
alpha-hydroxyisovalerate,2030531,2030804,1829852,2057736,2057517,2109607,2178648,2081477,3334329,5893593.5,2346549,3310268,2484465,24120288,2732459.25,3322194,3202832,3300332,2971020,4353238,2581282,2116022,2435429,3016351.75,2549382,2523237,2480199,2398234,1962462,2128247
alpha-ketoglutaramate*,6801472,6539378,7591249.5,6948136.5,7905507.5,7313661,8481183,9493750,22728426,25798032,10547550,14542286,13955559,21205868,13588104,14280260,10723121,12194651,12026610,15424696,12682134,6538294.5,10747843,12702755,8918990,9021405,8190593,9399311,11230439,10957940
alpha-ketoglutarate,4445061,4890027,7396235,4455559,5187577,4744590,4036791,3551321,10609937,8446290,5407135,11892057,6270685,15189100,9452342,21253456,8912847,14696022,6339956,13308956,5880405,7358394.5,6560742.5,12437026,5929109,6186074,5605240,5066469,6013034,7960403
alpha-tocopherol,81415088,78866400,79732744,88417384,54138516,85471040,52366872,56748040,80471464,77274976,58670352,67020176,74328736,81189232,67424944,84547536,92234800,94670208,80059840,91763200,82920480,108603176,92563512,101808056,108171984,104968664,84353688,106034840,102672728,107757128
"androstenediol (3beta,17beta) disulfate (1)",,,,311343,40865,,67475,279306,150187,93873,,67098,,,77843,113544,154381,275331,263312,103894,83300,,,,55501,,,,,
anserine,,58354.0039,47094,106248,69757,55490,68866,94000,182294,219575.0156,114336,193765,162859,331993,247393,131680,117918.0078,136919,115512,185237,163379,30315,52963,82181,65531,32911,41857,43565,52547,52280
anthranilate,581781,490781.9688,459448,701999,416705,307397,435780,380605,182452,264097,282702,336691,333109,446481,372231.0313,437469,517795,634993,584271,587800,387296,185451,195366,202731,174744,195236.0156,222232,187268,121492,251280
apigenin glucuronide (2),4796990,4899349,4038716,5149268,4068040,3321514,3338399,2585804,4320073,4087175.25,7444766,7568251,4456460,708182,6302156,6873963,4464243,5818611,11371212,6248106,5264048,260082,295387,309043,193066,159526,187840,205116,170312,203198
arabinose,,101933,,256693,,,271947,,,,157486,264917,259174,548516,274257,616589,576633,499075,140208,599181,,,198936,196913,,212192,,,,
arabitol/xylitol,1965583,2151912,2188484,2137071,2186880,2059291,2267733,2291579,1295736,944959,2010208,1580919,2191108,565729,1319501,2846611,2879740,2852554,2341274,3652027.75,2472850,2092070,2454019,2193315,2040837,2278441,1756088,2122200,2429179,2450917
arabonate/xylonate,15359751,13470279,15808161,15772784,16882860,14431719,13944181,14746424,13751321,13729043,12981156,12936144,10368499,12419094,13278322,17622032,17611508,18303868,14745724,20605932,15177367,15646099,13627500,15159186,16245925,12437406,15227827,14081863,12551160,16565829
arachidate (20:0),24179508,23346432,27583824,39002072,19878868,26403348,20472552,20583092,32690510,34820840,25340896,30564002,37487000,43501764,24060160,23700264,15485059,25875196,23713676,25578370,25769576,34000600,21262120,16961376,23130640,26981576,21247282,30181196,27397464,29631328
arachidonate (20:4n6),248685664,193872928,275116992,399638336,167439040,333585376,122024240,491262208,515941184,315056000,134635312,214182640,213116064,290795712,147610560,250372480,177732672,428565600,548135360,710828608,493945312,649982592,877970112,1163193472,966341632,1710340224,612938496,1064636928,1597689600,1566464640
arachidonoylcarnitine (C20:4),158387712,164239072,192776640,147613360,124589656,132687104,121942400,157720448,318425344,310910176,157000416,235340608,216773696,316889152,198483888,192984208,129547816,128129624,166931264,177049008,167291168,238779968,211210368,221637888,231149888,211032272,201567216,242725520,190763936,248589840
arachidoylcarnitine (C20)*,1939337,1845945,2035834,2147383,2442549,2393352,2469859,2671264,4801605,4497786,2967399,4872614,3761876,7254190,4427462,2901017,2816975,1787934,2442782,2572391,2505607,2803891,3796659,2282509,3143298,2791071,4179279,3057842,4477990,2294621
argininate*,13088998,13909185,14242967,11324962,12504386,12531311,13910535,9427127,7201557,8131024,8399294,6682527,7581431,14350589,6641691,16657974,18073420,19688366,16149189,18992452,15600842,13171848,21660744,25292628,14174561,24275976,16277431,19636688,21272480,20250160
arginine,33049560,28220192,29849460,47211504,26125988,35491768,24227548,41505036,77876184,78475480,45981600,55353784,56377132,57242364,37126276,47490232,32851796,43921384,45828888,59867696,51717592,41460220,49522260,65828884,50008444,55995016,30794196,48319640,82783896,67289040
argininosuccinate,520075,555553,967576,652344,292434,136353,193098,166765,,330795,303967,,216050,586060,226671,528687,527410,582730,624145,646458,485003,276752,772595,381007,417854,1222579,132938,733836,,1266729
ascorbate (Vitamin C),102084,144876,114628,59630.0039,70198,72319,87768,,142371,126937.9922,,125153,54395,,153446,83610,,,106676,121295.9922,,,101173,87758,,60014,,,,71607
ascorbic acid 2-sulfate,358623,432735,467926,517047,361474,368419,469598.9688,408683,463539,519703.9688,452025,533099,480320,738587,585562,487893.9688,410586,519903.9688,541521,529323,451733,402423,476790,393973,524538,527520,461760,572178,347528,450393
ascorbic acid 3-sulfate*,115059384,112874864,129695952,132448096,150108336,117040656,137896816,191929376,185651664,187901712,115292800,149169824,145383104,171495232,163451376,130554592,155951904,181412560,155254064,189377552,166347120,119463944,127515064,120500760,126946232,131613376,107052688,117712528,130101752,126208128
asparagine,235911264,236129136,237267248,289567136,213772672,230746480,206259376,271883136,553414464,523920544,299581408,444328928,396658816,415722112,341600256,336635392,301887040,379133184,339427488,473880832,350052384,260867536,316125152,377828640,314224416,352076832,237561040,308069504,473245216,393779168
aspartate,12365075,13011974,14981012,15002745,6479991.5,12346653,3792905,10069938,50374488,46782204,35421848,34159008,38289040,25634124,34968872,41368696,37756880,60139372,31127388,56793124,39997148,69242096,81992080,102950688,69725328,72567456,43748384,62885716,90475984,107800736
azelate (C9-DC),347194,393497,378232,363223,487625.9688,379716,394486.0313,409513,,269289,286918,194118,252025,501741,258903.0156,324170,389618,335542,398907,374587,382443,466657.9688,671170,668165,452850,876946.9375,577591,575583,610409,837659.9375
azeloylcarnitine (C9-DC),652703,462716,610291,489990,545552,219709,252934,253377,1093441,4585269,576404,766591,670828,9248264,745789,488816,625362,309234,492534,210142,145511,,,,,135905,,,,
behenoyl dihydrosphingomyelin (d18:0/22:0)*,1141771,1271609,1437392,1448744,2342029,1669326,2348501,2739527,6362730,10447043,3052951,4880888,4095300,6488007,4643623,2660771,2364848,2787697,2773737,2405353,1767451,1168159,1117280,1121707,1450342,1310377,1297437,1158007,1277551,1424431
behenoyl sphingomyelin (d18:1/22:0)*,99767304,105187680,119204336,103050504,124235072,102132800,125109192,132821416,204284448,261169376,112655872,143675136,146804848,206403968,152622448,117441480,106339168,137761072,124313408,114675936,95681880,104083296,121241776,99831496,126507840,145977824,122697248,137995392,158950976,137352320
behenoylcarnitine (C22)*,761712,804383,888829.9375,815324,985385,859571,733931,1242461,2359400,3056283.25,1090961,1880309,1655146,3746094,1709861,1211805,993461,948577,1033774.938,1253157,1056921,1337376,1430607,1380493,1683985,1401874,1709256,1729859,1932668.125,1415730
benzoate,4313197,4998419,5712645,2723605,1662518,2298623,2598975,1467594,7267478.5,6610823,7069952,5532060,5938900,5211174,5007153,1736797,2005975,3353223,1751135,2087143,1566718,3545057,4381028,3953578,3667832.25,4747366,2736467,3209953,3208082,4388787
beta-alanine,32708438,37364536,36395952,39821516,35208520,39828016,41940164,36572348,41244112,42977032,34888704,40289488,41264084,44589552,30511892,26413776,27158436,33521740,36061744,38351368,32524280,25778280,32390644,34407536,25968714,36512200,36585920,29105800,41875800,34992440
beta-guanidinopropanoate,70637408,69513720,67747160,82375360,102215272,132066088,125671568,105893352,40758900,45259840,48418384,44519956,49822948,44688236,41363696,63677672,78707056,80801616,65369260,81271384,81896600,94302512,93392280,111302136,101025448,107941872,111989008,103902936,94339984,100551312
beta-hydroxyisovalerate,1043319,842750,392485.9688,1066740,656300,1010527,870578.9375,382424,924225,710565,451952,509658,796585,2190111,382933,951050,633876,922388,647471,538055,418018,807252,815546,628600,737195,786969,418610.0313,887690.9375,405246.9688,791929.9375
beta-hydroxyisovaleroylcarnitine,4746533,3280929.75,4378126,4193152,4825027,4619434,4058142,4692275.5,4657108.5,6423889,2266272,2353302,2706096,10443460,2479085,3141564,5604047,3719371,3628167.75,3677223,4295443,4904919,5662426,5365561,5972779,6731644,4639107,6340844,5878963.5,7701850
beta-hydroxyisovalerylglycine,206173.0156,214409,207297.0156,189854,185782,164752,148662,140241,143993,258555,109249.9922,119535,99446.9922,628870,91174,176550,179623,184449,188425,255336.9844,179650,304831,348037,493197,334705,405378,402325.0313,367425,550655,413171.0313
beta-sitosterol,2809868,2359250,2809699,3076648,3750711,2812394,3154479,4240007,1121142,1551210,1021909,728922,1125722,662515,1156688,2482685,5213713,2246759,2481573,2703101,2571234,3978080,3566639,3238801,3386105,3098171,2785977,3138037,4558549,3958865.25
betaine,3149610496,2884508672,2918555904,3807436544,2633828864,3844311296,2911165184,2668295680,1612833024,2196817920,1382877440,1646666496,1465981312,2745597696,1543934464,2144766848,3663743744,2610203904,2329177600,2480534016,3260149760,3987715328,4179778816,3137085440,3975376128,4375797760,4187394304,4376010752,3631461120,4419784704
bilirubin,206459280,181380096,183132384,220807088,176482624,265350320,152351648,187143408,154303536,140756432,147868560,227089648,189929984,463033536,196936848,262089552,325402176,242157888,256934704,295523104,183605568,100189304,132404584,108980840,104936008,117051992,106424640,106969800,131980256,119399136
biliverdin,13523302,12215740,12470720,14343073,16359211,17215236,18895096,26182784,48985048,49723908,17141884,30296960,33045612,71491616,25947696,24649506,41017292,57303016,25257980,39906312,22606252,7163674,13591029,11300756,10757641,6092949.5,14714319,10823038,19192662,13867156
biopterin,489067,521132,458759,555430,381703,433153,401152,496648,589390,570654,420907,348116,471157,634929,396742,500693,481426,606623,500451,843231,579889,504496,542434,652917,562714,582966,421696,487852,557272,677099
butyrate/isobutyrate (4:0),3039872,2319733,2098086,2666808,3087543,2682717,2220664,2167115,1218199,1670949,1455521,1362428,1400060,1611191,1856109.875,2469054,2860425,2716348,2341573,2050773.875,1704026.875,761975,816545,729604,607898,1022057,792098,559898,825836,860988
butyrylcarnitine (C4),67943048,73253368,59046268,47898712,82316368,71903480,89419480,61723476,15024162,14893576,23594184,12839633,17139340,17197428,16831274,47983084,50748936,46236092,40028040,48466672,46455200,57989304,59793844,63397124,53370092,49308416,59328396,54532032,43028384,55174608
butyrylglycine (C4),2814216,3664050,5234646,2981811,3613201,2919076,2660041,2631688,5076789,10245799,2191852,4899744,3608125,26800230,3609327,4882273,4691229,4888301,4313231,4382610,3757134.75,3425625,2938388,5616670,4080989,3209570,3620470,3771628.25,3472315,2573910
C-glycosyltryptophan,,116962,132533,103222.0078,86123,113630.9922,92161,134066,414513,353687,92466,256617.0156,275640,535511,187633,194852,210573,184077,123947,252396,224746,,152917,,,110556,177212,,,159034
caffeic acid sulfate,4599101,4791055,3947826,3759792,4719378,3244497,3995719,2978033.25,1536056,1954003,3480258,2391087.75,2620257,413207,2610806,4975318,5609416,6408182,5879364,5001331,5365799,4199980,6168558,5274335,4078370,6225483,4880154,4812267,6556930,4700370
campesterol,8873749,8777595,10101187,8895476,9849197,8291139.5,8114345.5,10387723,3266700,4303233,3850885,2821251,3970091,2923379,3709055,6983085,12827934,6761999,6858914,6329487,6289915,11016184,8335677,8251220,8306428.5,8027062,6938836,7491691,11591046,9871420
