BIOCHEMICAL,1-ctrl,2-ctrl,3-ctrl,4-ctrl,5-ctrl,6-ctrl,7-ctrl,8-ctrl,9-Lm,10-Lm,11-Lm,12-Lm,13-Lm,14-Lm,15-Lm,16-Cr,17-Cr,18-Cr,19-Cr,21-Cr,22-Cr,23-GF,24-GF,25-GF,26-GF,27-GF,28-GF,29-GF,30-GF,31-GF
2-hydroxypalmitate,8775617,9449064,11529411,12497200,9829891,11564291,9680127,15084095,12056401,13060743,7401312,9139549,9805842,14489520,6370301,10113974,8986159,11442353,12238644,17696328,11931652,10281827,8558592,13636536,11631362,10276264,7284720,11935391,10375942,14555712
2-hydroxysebacate,322002,328930,264476,366398,370200,254988,487535,405666,328002,203135,312753,181896,254491,473434,217756.9844,231755.0156,305686,309906,314439,241699,339769,705624.9375,828814,896161,684645,906230,570458,785529,775470,877008.0625
2-hydroxystearate,4977463,5181539,7587284,5551899.5,3898516,6007471,4373838,4481928,5096630,6368865,3148842,3560076.75,5298786,5298473,4396891,3693945.25,4300758,4654994,4906650,6038543,4190413,4748606,3141518,5388103.5,4453104,3366159,3017516,5535524,3858105,4773611
2-keto-3-deoxy-gluconate,241139,419667.0313,444079.0313,396984,375540,419222,324682,329644,373794,378492,359946,310339,160523,193599,260352,519484.9688,527840,441260.0313,257009,491783,500926.9688,403615,555127,429160,488630,321779,451811,435060,493211,523512
2-ketogulonate,3781662,3759648,3654152,4227424,4379328,3673585,4113135,5586655,5064662,3746106,2883237,4922050,3668092,7727806,2737692,3297054,3753587,3173138,3512500,3168510,4418909,3850788,6259271,3523876,6637414,10038184,4640823,7779788,7103875,5862841
2-methoxyhydroquinone glucuronide (2),58424,52470,34111,38518,47969,43194,44712,,155462,203987,272730,208028,264479,,152792,126474.9922,93264,106806,111460,178981,108331,120326,174859,138873,124299,114088,153675,159290,253588.0156,109128
2-methylbutyrylcarnitine (C5),1584172.875,1709324,1728413.125,2059520,1750934,2177665,1877556,1931027,1784753,3567303.25,1366706,1401092,1166728,6028073,1096918,1377610,1759372,1658071,761612,1774989,1577492,180653,103355,177612,198859.0156,149891,388316,218483,272919,
2-methylbutyrylglycine (C5),120974,,100650,,114388,,146813,134624,237590.0156,844549,110961,284298,108550,2407114,184522,230156,246445,200463,253334.9844,349022,182450,175145,277457,333585,,,251269,273167,253609,173830
2-methylcitrate/homocitrate,71982,95713,96900,,78330,89078,67758,69040,251343,335397,175369,249557.0156,177159,809368,229219,172314,142422,186726,180920,241948.0156,135601,91929,147404,,91768,100167,93448,88061,80255,105803
2-O-methylascorbic acid,14623150,14746166,13875964,13970997,15816186,13502744,16109167,17904380,20365720,24225582,22251008,22557836,19344204,19537412,19019578,20985150,18811718,22546492,21483572,29767928,18388572,17925932,17014024,17482192,16358102,14906737,18412710,16053564,18265188,16185886
